timestamp,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,byte_count,duration,label,src_is_private,dst_is_private,src_ip_low16,dst_ip_low16,hour_of_day,bytes_per_packet,packets_per_second,bytes_per_second,is_well_known_dst_port,same_src_dst,protocol_id
2026-04-22 21:50:29.835513+00:00,10.65.205.11,21.59.216.25,20598,443,UDP,18,8779,3.8424,benign,1,0,52491,55321,21,487.72222222222223,4.684572142410993,2284.769935457006,1,0,17
2026-04-23 00:20:56.835513+00:00,10.0.200.241,118.218.149.11,11968,445,UDP,19,11169,1.35607,benign,1,0,51441,38155,0,587.8421052631579,14.011076124388858,8236.300485963113,1,0,17
2026-04-23 03:55:06.835513+00:00,10.61.224.222,29.196.142.82,23239,443,ICMP,23,13242,7.29083,benign,1,0,57566,36434,3,575.7391304347826,3.154647687574666,1816.254116472336,1,0,1
2026-04-22 09:31:19.835513+00:00,10.92.181.170,43.218.132.234,63237,8250,TCP,18,1494,0.32296,port_scan,1,0,46506,34026,9,83.0,55.734456279415404,4625.959871191479,0,0,6
2026-04-22 09:17:02.835513+00:00,10.45.104.217,85.212.207.224,57578,443,TCP,21,7668,7.24726,benign,1,0,26841,53216,9,365.14285714285717,2.897646834803774,1058.0550442512067,1,0,6
2026-04-22 21:20:16.835513+00:00,10.195.120.232,17.228.164.120,8308,80,TCP,24,12251,0.86978,benign,1,0,30952,42104,21,510.4583333333333,27.59318448343259,14085.170962772196,1,0,6
2026-04-21 15:34:21.835513+00:00,10.44.144.120,78.241.46.42,34768,22,TCP,14,4077,2.68514,benign,1,0,36984,11818,15,291.2142857142857,5.213880840477591,1518.3565847590814,1,0,6
2026-04-22 12:22:38.835513+00:00,10.102.188.190,133.17.196.75,51384,3389,TCP,13,6576,1.43204,benign,1,0,48318,50251,12,505.84615384615387,9.077958716236976,4592.050501382643,0,0,6
2026-04-23 03:27:12.835513+00:00,10.40.53.42,179.145.207.149,6377,445,TCP,18,16589,3.38787,benign,1,0,13610,53141,3,921.6111111111111,5.313072815662939,4896.5869410573605,1,0,6
2026-04-22 01:04:59.835513+00:00,10.167.133.224,219.119.127.129,43146,8080,ICMP,21,11772,1.29902,benign,1,0,34272,32641,1,560.5714285714286,16.16603285553725,9062.216132161167,0,0,1
